Sector:7503 Valid_Adv:1631 Correlation:0.9968310365915517
Sector:7504 Valid_Adv:516 Correlation:0.9906731802553373
Sector:6006 Valid_Adv:382 Correlation:0.9897702498229741
Sector:7806 Valid_Adv:2279 Correlation:0.9870194159383516
Sector:6102 Valid_Adv:1638 Correlation:0.9802487774751646
Sector:7602 Valid_Adv:2946 Correlation:0.9783805447914903
Sector:5703 Valid_Adv:379 Correlation:0.9735106728647507
Sector:7902 Valid_Adv:1148 Correlation:0.9696581894062258
Sector:7201 Valid_Adv:3115 Correlation:0.9673146979607887
Sector:8403 Valid_Adv:987 Correlation:0.9670121861077758
Sector:8511 Valid_Adv:1868 Correlation:0.9651878048878452
Sector:7603 Valid_Adv:303 Correlation:0.9638985607416445
Sector:8507 Valid_Adv:612 Correlation:0.9597671561591836
Sector:8509 Valid_Adv:57 Correlation:0.9597112650203107
Sector:6003 Valid_Adv:2010 Correlation:0.9590015612552814
Sector:6501 Valid_Adv:4953 Correlation:0.954974877751972
Sector:6604 Valid_Adv:231 Correlation:0.9541874924119509
Sector:7805 Valid_Adv:2217 Correlation:0.953050952375285
Sector:6705 Valid_Adv:3624 Correlation:0.9502459413043383
Sector:6502 Valid_Adv:1858 Correlation:0.9497469379755208
Sector:6001 Valid_Adv:1602 Correlation:0.9483249525704027
Sector:6101 Valid_Adv:4440 Correlation:0.9475503371450921
Sector:6503 Valid_Adv:1223 Correlation:0.9470390516544176
Sector:5102 Valid_Adv:947 Correlation:0.9436702294632434
Sector:8514 Valid_Adv:102 Correlation:0.9431822648431304
Sector:8503 Valid_Adv:704 Correlation:0.9431733982418355
Sector:6004 Valid_Adv:1042 Correlation:0.9425960698352849
Sector:6005 Valid_Adv:46 Correlation:0.9418199022735528
Sector:6902 Valid_Adv:1253 Correlation:0.9366165417512065
Sector:7103 Valid_Adv:1510 Correlation:0.9365511816715913
Sector:6007 Valid_Adv:792 Correlation:0.9357723192787598
Sector:5402 Valid_Adv:9144 Correlation:0.9347823125655845
